#
# Lab 6
#

#|------------inputs-----------------|     |------------------------------------outputs-------------------------------|    |-------------------inputs------------------|
#  F7  | rs2 | rs1 |f3 | rd  | opcode
instruction                               Func  RegAddrA RegAddrB DestReg RS1v RS2v RDv Left        Right       Extra        RegDataA    RegDataB    PC           Stall
# LUI (U)
0000000_00000_00000_111_00001_0110111     LUI-- 00000    00000    00001   0    0    1   00_00_00_00 00_00_00_00 00_00_70_00  00_00_00_AA 00_00_00_BB 00_00_11_11  0 
# AUIPC (U)
0000000_00000_00000_111_00001_0010111     AUIPC 00000    00000    00001   0    0    1   00_00_00_00 00'00'00'00 00'00'81'11  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# JAL (J)
0000000_00000_00000_111_00001_1101111     JAL-- 00000    00000    00001   0    0    1   00_00_70_00 00'00'11'11 00'00'11'15  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# JALR (I)
0000000_00111_00001_000_00010_1100111     JALR- 00001    00000    00010   1    0    1   00_00_00_07 00'00'00'AA 00'00'11'15  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# BEQ (B)
0000000_00010_00001_000_00111_1100011     BEQ-- 00001    00010    00000   1    1    0   00_00_00_BB 00'00'00'AA 00'00'19'17  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# BNE (B)
0000000_00010_00001_001_00111_1100011     BNE-- 00001    00010    00000   1    1    0   00_00_00_BB 00'00'00'AA 00'00'19'17  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# BLT (B)
0000000_00010_00001_100_00111_1100011     BLT-- 00001    00010    00000   1    1    0   00_00_00_BB 00'00'00'AA 00'00'19'17  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# BGE (B)
0000000_00010_00001_101_00111_1100011     BGE-- 00001    00010    00000   1    1    0   00_00_00_BB 00'00'00'AA 00'00'19'17  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# BLTU (B)
0000000_00010_00001_110_00111_1100011     BLTU- 00001    00010    00000   1    1    0   00_00_00_BB 00'00'00'AA 00'00'19'17  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# BGEU (B)
0000000_00010_00001_111_00111_1100011     BGEU- 00001    00010    00000   1    1    0   00_00_00_BB 00'00'00'AA 00'00'19'17  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# LB (I)
0000000_11000_00001_000_00010_0000011     LB--- 00001    00000    00010   1    0    1   00_00_00_18 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# LH (I)
0000000_11000_00001_001_00010_0000011     LH--- 00001    00000    00010   1    0    1   00_00_00_18 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# LW (I)
